Category;Name of the gene;RNASeq;Microarray

Vestigial Like Family Member 3;VGLL3;25;44
Charged Multivesicular Body Protein 2B;CHMP2B;42;44
POU Class 1 Homeobox 1;POU1F1;2,;0,
5-Hydroxytryptamine Receptor 1F;HTR1F;6,;3,
CGG Triplet Repeat Binding Protein 1;CGGBP1;43;49
Zinc Finger Protein 654;ZNF654;23;20
Solute Carrier Family 12 Member 8;SLC12A8;10;11
Zinc Finger Protein 148;ZNF148;22;26
Sorting Nexin 4;SNX4;35;38
Oxysterol Binding Protein Like 11;OSBPL11;22;27
Leishmanolysin Like Peptidase;LMLN;16;11
Ribosomal Protein L35a;RPL35A;15;26
IQ Motif Containing G;IQCG;15;29
Leucine Rich Repeats And Calponin Homology Domain Containing 3;LRCH3;23;28
Forty-Two-Three Domain Containing 1;FYTTD1;39;55
Mucin 20, Cell Surface Associated;MUC20;9,;14
Mucin 4, Cell Surface Associated;MUC4;10;2,
Tyrosine Kinase Non Receptor 2;TNK2;44;27
Transferrin Receptor;TFRC;32;44
Zinc Finger DHHC-Type Palmitoyltransferase 19;ZDHHC19;5,;1,
Solute Carrier Family 51 Subunit Alpha;SLC51A;9,;Br
Phosphate Cytidylyltransferase 1A, Choline;PCYT1A;23;50
Transmembrane 4 L Six Family Member 19;TM4SF19;7,;28
UBX Domain Protein 7;UBXN7;24;27
Ring Finger Protein 168;RNF168;26;30
Single-Pass Membrane Protein With Coiled-Coil Domains 1;SMCO1;2,;Br
WD Repeat Domain 53;WDR53;20;28
F-Box Protein 45;FBXO45;15;20
Negative Regulator Of Reactive Oxygen Species;NRROS;20;Br
Centrosomal Protein 19;CEP19;10;10
Phosphatidylinositol Glycan Anchor Biosynthesis Class X;PIGX;20;32
P21 (RAC1) Activated Kinase 2;PAK2;41;43
SUMO Specific Peptidase 5;SENP5;26;26
Nuclear Cap Binding Protein Subunit 2;NCBP2;44;58
Phosphatidylinositol Glycan Anchor Biosynthesis Class Z;PIGZ;22;24
Receptor Transporter Protein 2;RTP2;0.;0,
Somatostatin;SST;7,;0,
Receptor Transporter Protein 4;RTP4;16;15
MBL Associated Serine Protease 1;MASP1;9,;18
Receptor Transporter Protein 1;RTP1;1,;0.
